%%% GEARHEAD I18N NAME TABLE %%%

% ghchars.pp StatName[]
STATNAME_REFLEXES               <Reflexes>
_Arm                            <Arm>
_Leg                            <Leg>
_Wing                           <Wing>
_Tail                           <Tail>
_Turret                         <Turret>
_Storage                        <Storage>
_Conversion                     <Conversion>
%
_Laser_Cannon                   <Laser Cannon>
_Light_Autocannon               <Light Autocannon>
%
_Old_Mobile_Phone               <Old Mobile Phone>
%

% FormatMessageString(), FormatDescString()
%
%	Area Name
_The_Federated_Territories      <The Federated Territories>
_The_Dead_Zone                  <The Dead Zone>
_Mecha_Sporch                   <Mecha Sporch>
_Snake_Lake                     <Snake Lake>
%


%%% [ End of File ] %%%
