Plot 0
	name <You will join me on the dark side>
	CMsg203_4 <ifNPCMelancholy Accept>
	Msg203_5 <Believe me about that- I served alongside him. I was the one who ended his life, after he betrayed us... You don't want to end up like that. Serve \NARRATIVE 2 . I'll see you later, and I'll bring some additional persuasion.>
	CMsg203_5 <ifNPCEasygoing Accept>
	Msg203_6 <It's the truth! I served alongside your father, and he was a great warrior up until the moment he betrayed us... Join us, take his place in \NARRATIVE 2 , and you'll be on the winning side of history. I'll leave you to think about this for a while.>
	CMsg203_6 <ifNPCPassionate Accept>

	Msg204 <Me? I want nothing... but my employers may think you're ready to replace your father in our organization. If they make that decision, you will be given a choice... join us and serve our will, or join your family in the next world.>
	Msg204_1 <You will serve us, in our mission to immanentize the eschaton. It would be preferable if you were to do this of your own free will. If you choose not to, there are other means at our disposal.>
	CMsg204_1 <ifNPCSociable Accept>
	Msg204_2 <I want nothing. My masters want a replacement for your father. They're thinking about choosing you.>
	CMsg204_2 <ifNPCShy Accept>
	Msg204_3 <Think of this as a job offer. My masters need someone to replace your father. You would make a good candidate... and the immanentization of the eschaton is near at hand.>
	CMsg204_3 <ifNPCCheerful Accept>
	Msg204_4 <You will replace your father in \NARRATIVE 2 , and serve us faithfully, or be utterly destroyed like your parents before you.>
	CMsg204_4 <ifNPCMelancholy Accept>
	Msg204_5 <I want you to think about this: \NARRATIVE 2 needs someone to replace your father, and they are considering you. I'll be in contact again.>
	CMsg204_5 <ifNPCEasygoing Accept>
	Msg204_6 <I want you to give up your pretensions and join us. Forget your father... he was weak, that's why he had to die... But \NARRATIVE 2 needs new blood. Think about it... I will be in contact again soon.>
	CMsg204_6 <ifNPCPassionate Accept>

	Msg205 <You still don't understand. Your father brought his death upon himself for failing to carry out his orders. Someday you will understand, and you will join us... or I will kill you as easily as I killed your parents.>
	Msg205_1 <Don't say things that you'll regret later. I was supposed to offer you a position with \NARRATIVE 2 , but it seems that more persuasion is needed first.>
	CMsg205_1 <ifNPCSociable Accept>
	Msg205_2 <You can try. In time, you too will join \NARRATIVE 2 .>
	CMsg205_2 <ifNPCShy Accept>
	Msg205_3 <I very much doubt that, \PC . You'll come to see the rightness of our position in time. And then, you'll be one of us.>
	CMsg205_3 <ifNPCCheerful Accept>
	Msg205_4 <Struggle all you want, only know that it's inevitable... One way or the other, you will serve \NARRATIVE 2 in the end.>
	CMsg205_4 <ifNPCMelancholy Accept>
	Msg205_5 <Now that's just not very nice... Here I was, about to offer you a job with \NARRATIVE 2 , and you have to go say something unfriendly like that... It seems that you're going to need a bit more persuasion.>
	CMsg205_5 <ifNPCEasygoing Accept>
	Msg205_6 <Don't try to rebel against your destiny. In one way or another you will serve our purposes.>
	CMsg205_6 <ifNPCPassionate Accept>

	Prompt201 <You're lying!>
	Prompt201_1 <I can't believe you!>
	Prompt202 <What do you want from me!?>
	Prompt202_1 <So what do you want from me now?>
	Prompt203 <I'll kill you for what you've done.>
	Prompt203_1 <I'll destroy you for this.>

	GoCheckLoss <if= P2 2 else GoFirstTime Say 101 AdvancePlot 0>
	Msg101 <As I expected, you are weak. I don't expect that \NARRATIVE 2 will have any further interest in you.>
	Msg101_1 <From your reputation, I honestly expected to see more of a fight. You are worthless and weak.>
	CMsg101_1 <ifNPCSociable Accept>
	Msg101_2 <It is settled. You are of no consequence to \NARRATIVE 2 .>
	CMsg101_2 <ifNPCShy Accept>
	Msg101_3 <It was entertaining to watch you get slaughtered, but now I have more pressing matters to attend to. Goodbye, \PC .>
	CMsg101_3 <ifNPCCheerful Accept>
	Msg101_4 <You are too weak to be of any interest to \NARRATIVE 2 .>
	CMsg101_4 <ifNPCMelancholy Accept>
	Msg101_5 <You are not a bad pilot, but thoroughly mediocre. If you were to improve your skills you might even be dangerous... and at that time, you would have to be eliminated.>
	CMsg101_5 <ifNPCEasygoing Accept>
	Msg101_6 <So that's all the great \PC is capable of!?>
	CMsg101_6 <ifNPCPassionate Accept>

	GoFirstTime <if= V1 0 else GoAnything V= 1 1 Say 1 History 3 XREnemy NAV_XREFaction AddChat 1 AddChat 2 AddChat 3>
	GoAnything <SayAnything>
	result1 <Reputation 4 -d8 goto result2>
	result2 <EndCHat Say 2>
	result3 <Reputation 4 d8 goto result2>
	Msg1 <Greetings, \PC . We meet again. My employers think it's time you learned the truth... I am working for \NARRATIVE 2 , and they have a small test for you.>
	Msg1_1 <Glad to see our intel on you was correct, \PC . I was sent here today by \NARRATIVE 2 to inform you of some unpleasant truths, and to give you a small test.>
	CMsg1_1 <ifNPCSociable Accept>
	Msg1_2 <Hello \PC . It's time you learn the truth about your parent's death. I have been operating under the direction of \NARRATIVE 2 . They sent me here today with a test for you.>
	CMsg1_2 <ifNPCShy Accept>
	Msg1_3 <Oh, I have a fun game for you today, \PC . You want to know about who killed your parents? I admit, I had some hand in that, but the orders came from \NARRATIVE 2 . Want to learn more? Then you have to pass my test.>
	CMsg1_3 <ifNPCCheerful Accept>
	Msg1_4 <Greetings \PC ... No, I'm not here to attack you, my purpose is far more cruel. I guess you already know that I'm the one who killed your parents. What you don't know is that \NARRATIVE 2 orchestrated it. Pass my test, and you'll learn more.>
	CMsg1_4 <ifNPCMelancholy Accept>
	Msg1_5 <I'm afraid I have some uncomfortable facts about your father's death, \PC . You already know I was involved in that... What you don't know is that \NARRATIVE 2 ordered the hit. They've sent me here today to tell you that, and to test you...>
	CMsg1_5 <ifNPCEasygoing Accept>
	Msg1_6 <Don't look so shocked, \PC ... I'm not here to kill you. Not yet, anyhow... My masters, \NARRATIVE 2 , have decided it's time you were let in on a few of our secrets. They've sent me here today with a little test for you.>
	CMsg1_6 <ifNPCPassionate Accept>

	Msg2 <My employers are very interested in your combat abilities. You will see the team I have chosen for you to battle... you will defeat them, or be defeated by them. We will see how great you truly are.>
	Msg2_1 <The masters of \NARRATIVE 2 are very interested in your combat skills. We've planned a little test for you. Let's see how well you fare against some of our top pilots... if you survive, I can tell you more.>
	CMsg2_1 <ifNPCSociable Accept>
	Msg2_2 <We have arranged a test by fire. If you survive this ambush that I've planned, I'll have a good idea how tough you really are.>
	CMsg2_2 <ifNPCShy Accept>
	Msg2_3 <Keep a positive attitude, you should feel honored that \NARRATIVE 2 thinks you're important enough to arrange this sort of test. You're about to be attacked by our top pilots. Survive, and I have some information you'll want to hear.>
	CMsg2_3 <ifNPCCheerful Accept>
	Msg2_4 <Death is the truest measure of a warrior. You are about to be attacked... If you survive the encounter, then we'll know how advanced your combat skills are.>
	CMsg2_4 <ifNPCMelancholy Accept>
	Msg2_5 <It's pretty easy. I've assembled a team of crack pilots... They're about to lay a beating on you. Either you defeat them, or get defeated by them. It's that simple.>
	CMsg2_5 <ifNPCEasygoing Accept>
	Msg2_6 <I have some information that you'll want to know, and \NARRATIVE 2 wants to know something about you. If you're skilled enough to defeat a team of our crack pilots I'll explain why your family had to die.>
	CMsg2_6 <ifNPCPassionate Accept>
	Msg3 <\ELEMENT 2 revealed that \OPR E2 was taking orders from \NARRATIVE 2 .>

	Prompt1 <Tell \NARRATIVE 2 to shove it.>
	Prompt1_1 <You and your masters can kiss my ass.>
	Prompt1_2 <Go to the pit, \ELEMENT 2 .>
	Prompt2 <What kind of test?>
	Prompt2_1 <What are you planning?>
	Prompt2_2 <Tell me what I'm supposed to do.>
	Prompt3 <Let's get this over with quickly...>
	Prompt3_1 <I guess I don't have much of a choice.>
	Prompt3_2 <Sure, whatever...>

end
